"Gene","Tissue","Group"
"Relt","Neuron","Group enriched"
"Relt","Myelinating Oligodendrocytes","Group enriched"
"Relt","Oligodendrocyte Precursor Cell","Group enriched"
"Sncb","Neuron","Tissue enriched"
"Pck2","Microglia","Group enriched"
"Pck2","Endothelial Cells","Group enriched"
"Pck2","Neuron","Group enriched"
"Pck2","Oligodendrocyte Precursor Cell","Group enriched"
"Pck2","Astrocytes","Group enriched"
"Lman1","Endothelial Cells","Group enriched"
"Lman1","Astrocytes","Group enriched"
"Lman1","Oligodendrocyte Precursor Cell","Group enriched"
"Lman1","Microglia","Group enriched"
"Lman1","Neuron","Group enriched"
"Lman1","Newly Formed Oligodendrocyte","Group enriched"
"Podxl2","Neuron","Group enriched"
"Podxl2","Oligodendrocyte Precursor Cell","Group enriched"
"Podxl2","Newly Formed Oligodendrocyte","Group enriched"
"Rgmb","Neuron","Group enriched"
"Rgmb","Microglia","Group enriched"
"Tec","Microglia","Group enriched"
"Tec","Endothelial Cells","Group enriched"
"Tmem123","Endothelial Cells","Group enriched"
"Tmem123","Newly Formed Oligodendrocyte","Group enriched"
"Tmem123","Myelinating Oligodendrocytes","Group enriched"
"Slc38a1","Neuron","Group enriched"
"Slc38a1","Microglia","Group enriched"
"Slc38a1","Oligodendrocyte Precursor Cell","Group enriched"
"Slc38a1","Newly Formed Oligodendrocyte","Group enriched"
"Tmc7","Astrocytes","Group enriched"
"Tmc7","Endothelial Cells","Group enriched"
"Tmc7","Microglia","Group enriched"
"Tnni2","Microglia","Tissue enriched"
"Psd4","Microglia","Tissue enriched"
"H2-T24","Microglia","Group enriched"
"H2-T24","Endothelial Cells","Group enriched"
"Mapk1ip1l","Neuron","Group enriched"
"Mapk1ip1l","Astrocytes","Group enriched"
"Mapk1ip1l","Endothelial Cells","Group enriched"
"Mapk1ip1l","Oligodendrocyte Precursor Cell","Group enriched"
"Mapk1ip1l","Newly Formed Oligodendrocyte","Group enriched"
"Mapk1ip1l","Microglia","Group enriched"
"H2-Q6","Microglia","Group enriched"
"H2-Q6","Endothelial Cells","Group enriched"
"Sfxn3","Neuron","Group enriched"
"Sfxn3","Oligodendrocyte Precursor Cell","Group enriched"
"Sfxn3","Astrocytes","Group enriched"
"Sfxn3","Microglia","Group enriched"
"Sfxn3","Endothelial Cells","Group enriched"
"Sfxn3","Newly Formed Oligodendrocyte","Group enriched"
"Vrk2","Microglia","Tissue enriched"
"Notch1","Astrocytes","Group enriched"
"Notch1","Endothelial Cells","Group enriched"
"Notch1","Oligodendrocyte Precursor Cell","Group enriched"
"Notch1","Microglia","Group enriched"
"Notch1","Newly Formed Oligodendrocyte","Group enriched"
"Nde1","Myelinating Oligodendrocytes","Group enriched"
"Nde1","Newly Formed Oligodendrocyte","Group enriched"
"Nde1","Astrocytes","Group enriched"
"Nde1","Endothelial Cells","Group enriched"
"Nde1","Oligodendrocyte Precursor Cell","Group enriched"
"Nde1","Microglia","Group enriched"
"Hpcal1","Endothelial Cells","Group enriched"
"Hpcal1","Neuron","Group enriched"
"Hpcal1","Microglia","Group enriched"
"Hpcal1","Myelinating Oligodendrocytes","Group enriched"
"Hpcal1","Newly Formed Oligodendrocyte","Group enriched"
"Hpcal1","Oligodendrocyte Precursor Cell","Group enriched"
"Sp110","Microglia","Tissue enriched"
"H2-DMb1","Microglia","Tissue enriched"
"Cst7","Microglia","Tissue enriched"
"Lyz1","Microglia","Tissue enriched"
"Tal1","Endothelial Cells","Group enriched"
"Tal1","Microglia","Group enriched"
"5031414D18Rik","Microglia","Tissue enriched"
"Cyp27a1","Newly Formed Oligodendrocyte","Group enriched"
"Cyp27a1","Myelinating Oligodendrocytes","Group enriched"
"Cyp27a1","Microglia","Group enriched"
"Isg15","Microglia","Group enriched"
"Isg15","Endothelial Cells","Group enriched"
"Sh3pxd2a","Microglia","Group enriched"
"Sh3pxd2a","Endothelial Cells","Group enriched"
"Sh3pxd2a","Oligodendrocyte Precursor Cell","Group enriched"
"Sh3pxd2a","Neuron","Group enriched"
"Jmjd1c","Astrocytes","Group enriched"
"Jmjd1c","Oligodendrocyte Precursor Cell","Group enriched"
"Jmjd1c","Endothelial Cells","Group enriched"
"Jmjd1c","Neuron","Group enriched"
"Jmjd1c","Newly Formed Oligodendrocyte","Group enriched"
"Jmjd1c","Microglia","Group enriched"
"Plekha2","Oligodendrocyte Precursor Cell","Group enriched"
"Plekha2","Microglia","Group enriched"
"Plekha2","Myelinating Oligodendrocytes","Group enriched"
"Plekha2","Newly Formed Oligodendrocyte","Group enriched"
"Ly6c1","Endothelial Cells","Tissue enriched"
"Cdk2","Endothelial Cells","Group enriched"
"Cdk2","Oligodendrocyte Precursor Cell","Group enriched"
"Cdk2","Astrocytes","Group enriched"
"Cdk2","Microglia","Group enriched"
"Cdk2","Newly Formed Oligodendrocyte","Group enriched"
"Cnot2","Oligodendrocyte Precursor Cell","Group enriched"
"Cnot2","Astrocytes","Group enriched"
"Cnot2","Endothelial Cells","Group enriched"
"Cnot2","Neuron","Group enriched"
"Cnot2","Microglia","Group enriched"
"Cnot2","Newly Formed Oligodendrocyte","Group enriched"
"Csf2rb2","Microglia","Tissue enriched"
"Arl11","Microglia","Tissue enriched"
"Gatsl3","Endothelial Cells","Group enriched"
"Gatsl3","Microglia","Group enriched"
"Gatsl3","Astrocytes","Group enriched"
"Htra3","Endothelial Cells","Tissue enriched"
"Rab6","Neuron","Group enriched"
"Rab6","Newly Formed Oligodendrocyte","Group enriched"
"Rab6","Myelinating Oligodendrocytes","Group enriched"
"Rab6","Oligodendrocyte Precursor Cell","Group enriched"
"Rab6","Endothelial Cells","Group enriched"
"Rab6","Astrocytes","Group enriched"
"Prdm1","Endothelial Cells","Group enriched"
"Prdm1","Microglia","Group enriched"
"Cd84","Microglia","Tissue enriched"
"Retsat","Microglia","Group enriched"
"Retsat","Endothelial Cells","Group enriched"
"Retsat","Astrocytes","Group enriched"
"Retsat","Oligodendrocyte Precursor Cell","Group enriched"
"Retsat","Myelinating Oligodendrocytes","Group enriched"
"Retsat","Newly Formed Oligodendrocyte","Group enriched"
"4632411B12Rik","Astrocytes","Group enriched"
"4632411B12Rik","Neuron","Group enriched"
"4632411B12Rik","Endothelial Cells","Group enriched"
"4632411B12Rik","Oligodendrocyte Precursor Cell","Group enriched"
"4632411B12Rik","Microglia","Group enriched"
"4632411B12Rik","Newly Formed Oligodendrocyte","Group enriched"
"Ccdc50","Astrocytes","Group enriched"
"Ccdc50","Neuron","Group enriched"
"Ccdc50","Endothelial Cells","Group enriched"
"Ccdc50","Oligodendrocyte Precursor Cell","Group enriched"
"Ccdc50","Microglia","Group enriched"
"Ccdc50","Newly Formed Oligodendrocyte","Group enriched"
"Pde1b","Astrocytes","Group enriched"
"Pde1b","Neuron","Group enriched"
"Pde1b","Microglia","Group enriched"
"Pde1b","Oligodendrocyte Precursor Cell","Group enriched"
"Cwc22","Astrocytes","Group enriched"
"Cwc22","Oligodendrocyte Precursor Cell","Group enriched"
"Cwc22","Neuron","Group enriched"
"Cwc22","Newly Formed Oligodendrocyte","Group enriched"
"Parp10","Microglia","Group enriched"
"Parp10","Endothelial Cells","Group enriched"
"Arl2bp","Oligodendrocyte Precursor Cell","Group enriched"
"Arl2bp","Newly Formed Oligodendrocyte","Group enriched"
"Arl2bp","Endothelial Cells","Group enriched"
"Arl2bp","Myelinating Oligodendrocytes","Group enriched"
"Arl2bp","Astrocytes","Group enriched"
"Arl2bp","Neuron","Group enriched"
"Prkch","Endothelial Cells","Group enriched"
"Prkch","Microglia","Group enriched"
"Zeb2","Newly Formed Oligodendrocyte","Group enriched"
"Zeb2","Myelinating Oligodendrocytes","Group enriched"
"Zeb2","Oligodendrocyte Precursor Cell","Group enriched"
"Zeb2","Neuron","Group enriched"
"Zeb2","Astrocytes","Group enriched"
"Zeb2","Microglia","Group enriched"
"Gbgt1","Microglia","Tissue enriched"
"Fyn","Newly Formed Oligodendrocyte","Tissue enriched"
"Creb3l2","Newly Formed Oligodendrocyte","Group enriched"
"Creb3l2","Endothelial Cells","Group enriched"
"Creb3l2","Microglia","Group enriched"
"Creb3l2","Myelinating Oligodendrocytes","Group enriched"
"Creb3l2","Astrocytes","Group enriched"
"Creb3l2","Oligodendrocyte Precursor Cell","Group enriched"
"Lima1","Oligodendrocyte Precursor Cell","Group enriched"
"Lima1","Newly Formed Oligodendrocyte","Group enriched"
"Lima1","Endothelial Cells","Group enriched"
"Lima1","Microglia","Group enriched"
"Lima1","Myelinating Oligodendrocytes","Group enriched"
"Arglu1","Astrocytes","Group enriched"
"Arglu1","Neuron","Group enriched"
"Arglu1","Oligodendrocyte Precursor Cell","Group enriched"
"Arglu1","Newly Formed Oligodendrocyte","Group enriched"
"Arglu1","Endothelial Cells","Group enriched"
"Plekhg5","Endothelial Cells","Group enriched"
"Plekhg5","Microglia","Group enriched"
"Elf4","Microglia","Tissue enriched"
"Tbl1x","Astrocytes","Group enriched"
"Tbl1x","Neuron","Group enriched"
"Tbl1x","Endothelial Cells","Group enriched"
"Tbl1x","Oligodendrocyte Precursor Cell","Group enriched"
"Tbl1x","Microglia","Group enriched"
"Tbl1x","Newly Formed Oligodendrocyte","Group enriched"
"Def6","Endothelial Cells","Group enriched"
"Def6","Microglia","Group enriched"
"Slc27a1","Astrocytes","Tissue enriched"
"Akap13","Endothelial Cells","Group enriched"
"Akap13","Microglia","Group enriched"
"Akap13","Oligodendrocyte Precursor Cell","Group enriched"
"Akap13","Astrocytes","Group enriched"
"Akap13","Newly Formed Oligodendrocyte","Group enriched"
"Leprel1","Microglia","Group enriched"
"Leprel1","Oligodendrocyte Precursor Cell","Group enriched"
"Spna2","Endothelial Cells","Group enriched"
"Spna2","Neuron","Group enriched"
"Spna2","Oligodendrocyte Precursor Cell","Group enriched"
"Spna2","Astrocytes","Group enriched"
"Spna2","Newly Formed Oligodendrocyte","Group enriched"
"Anxa11","Endothelial Cells","Group enriched"
"Anxa11","Microglia","Group enriched"
"Cib2","Neuron","Group enriched"
"Cib2","Oligodendrocyte Precursor Cell","Group enriched"
"Cib2","Microglia","Group enriched"
"Tnrc18","Neuron","Group enriched"
"Tnrc18","Astrocytes","Group enriched"
"Tnrc18","Oligodendrocyte Precursor Cell","Group enriched"
"Tnrc18","Microglia","Group enriched"
"Tnrc18","Endothelial Cells","Group enriched"
"Tnrc18","Newly Formed Oligodendrocyte","Group enriched"
"Slc45a4","Microglia","Group enriched"
"Slc45a4","Oligodendrocyte Precursor Cell","Group enriched"
"Slc45a4","Neuron","Group enriched"
"Slc45a4","Newly Formed Oligodendrocyte","Group enriched"
"Slc45a4","Astrocytes","Group enriched"
"Slc45a4","Endothelial Cells","Group enriched"
"Pan3","Endothelial Cells","Group enriched"
"Pan3","Astrocytes","Group enriched"
"Pan3","Neuron","Group enriched"
"Pan3","Oligodendrocyte Precursor Cell","Group enriched"
"Pan3","Microglia","Group enriched"
"Pan3","Newly Formed Oligodendrocyte","Group enriched"
"Metrn","Myelinating Oligodendrocytes","Group enriched"
"Metrn","Newly Formed Oligodendrocyte","Group enriched"
"Metrn","Oligodendrocyte Precursor Cell","Group enriched"
"Metrn","Astrocytes","Group enriched"
"Prpf38b","Astrocytes","Group enriched"
"Prpf38b","Neuron","Group enriched"
"Prpf38b","Endothelial Cells","Group enriched"
"Prpf38b","Oligodendrocyte Precursor Cell","Group enriched"
"Prpf38b","Newly Formed Oligodendrocyte","Group enriched"
"Prpf38b","Microglia","Group enriched"
"Mthfr","Microglia","Group enriched"
"Mthfr","Newly Formed Oligodendrocyte","Group enriched"
"Mthfr","Oligodendrocyte Precursor Cell","Group enriched"
"Mthfr","Endothelial Cells","Group enriched"
"Mthfr","Neuron","Group enriched"
"Mthfr","Astrocytes","Group enriched"
"Trit1","Newly Formed Oligodendrocyte","Group enriched"
"Trit1","Neuron","Group enriched"
"Trit1","Microglia","Group enriched"
"Trit1","Oligodendrocyte Precursor Cell","Group enriched"
"Trit1","Astrocytes","Group enriched"
"Trit1","Endothelial Cells","Group enriched"
"Kcnab2","Neuron","Group enriched"
"Kcnab2","Microglia","Group enriched"
"Kcnab2","Oligodendrocyte Precursor Cell","Group enriched"
"Kcnab2","Myelinating Oligodendrocytes","Group enriched"
"Kcnab2","Newly Formed Oligodendrocyte","Group enriched"
"Nrp2","Endothelial Cells","Group enriched"
"Nrp2","Microglia","Group enriched"
"Nrp2","Neuron","Group enriched"
"Nrp2","Oligodendrocyte Precursor Cell","Group enriched"
"Slc16a10","Microglia","Tissue enriched"
"Zfp592","Astrocytes","Group enriched"
"Zfp592","Microglia","Group enriched"
"Zfp592","Neuron","Group enriched"
"Zfp592","Endothelial Cells","Group enriched"
"Zfp592","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp592","Newly Formed Oligodendrocyte","Group enriched"
"P2ry2","Microglia","Group enriched"
"P2ry2","Oligodendrocyte Precursor Cell","Group enriched"
"Celf2","Astrocytes","Group enriched"
"Celf2","Neuron","Group enriched"
"Celf2","Oligodendrocyte Precursor Cell","Group enriched"
"Celf2","Microglia","Group enriched"
"Ocel1","Endothelial Cells","Group enriched"
"Ocel1","Microglia","Group enriched"
"Ocel1","Myelinating Oligodendrocytes","Group enriched"
"Ocel1","Newly Formed Oligodendrocyte","Group enriched"
"Ocel1","Neuron","Group enriched"
"Prnp","Endothelial Cells","Group enriched"
"Prnp","Astrocytes","Group enriched"
"Prnp","Oligodendrocyte Precursor Cell","Group enriched"
"Prnp","Neuron","Group enriched"
"Prnp","Myelinating Oligodendrocytes","Group enriched"
"Prnp","Newly Formed Oligodendrocyte","Group enriched"
"Ttyh1","Astrocytes","Group enriched"
"Ttyh1","Newly Formed Oligodendrocyte","Group enriched"
"Ttyh1","Oligodendrocyte Precursor Cell","Group enriched"
"Ttyh1","Myelinating Oligodendrocytes","Group enriched"
"Lpar5","Microglia","Tissue enriched"
"Asxl1","Neuron","Group enriched"
"Asxl1","Endothelial Cells","Group enriched"
"Asxl1","Astrocytes","Group enriched"
"Asxl1","Microglia","Group enriched"
"Asxl1","Oligodendrocyte Precursor Cell","Group enriched"
"Asxl1","Newly Formed Oligodendrocyte","Group enriched"
"Cdc42ep4","Astrocytes","Group enriched"
"Cdc42ep4","Endothelial Cells","Group enriched"
"Cdc42ep4","Oligodendrocyte Precursor Cell","Group enriched"
"Cdc42ep4","Neuron","Group enriched"
"Cdc42ep4","Myelinating Oligodendrocytes","Group enriched"
"Cdc42ep4","Microglia","Group enriched"
"Mdfi","Microglia","Group enriched"
"Mdfi","Endothelial Cells","Group enriched"
"1300014I06Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1300014I06Rik","Newly Formed Oligodendrocyte","Group enriched"
"1300014I06Rik","Endothelial Cells","Group enriched"
"1300014I06Rik","Microglia","Group enriched"
"Klhl5","Newly Formed Oligodendrocyte","Group enriched"
"Klhl5","Oligodendrocyte Precursor Cell","Group enriched"
"Klhl5","Astrocytes","Group enriched"
"Klhl5","Endothelial Cells","Group enriched"
"Klhl5","Myelinating Oligodendrocytes","Group enriched"
"Myo7a","Microglia","Tissue enriched"
"Acot7","Myelinating Oligodendrocytes","Group enriched"
"Acot7","Neuron","Group enriched"
"Acot7","Newly Formed Oligodendrocyte","Group enriched"
"AI467606","Microglia","Group enriched"
"AI467606","Endothelial Cells","Group enriched"
"Slc12a2","Newly Formed Oligodendrocyte","Group enriched"
"Slc12a2","Myelinating Oligodendrocytes","Group enriched"
"Slc12a2","Oligodendrocyte Precursor Cell","Group enriched"
"Ctla2b","Endothelial Cells","Tissue enriched"
"Rpl38","Endothelial Cells","Group enriched"
"Rpl38","Microglia","Group enriched"
"Hnrnpd","Neuron","Group enriched"
"Hnrnpd","Oligodendrocyte Precursor Cell","Group enriched"
"Hnrnpd","Astrocytes","Group enriched"
"Hnrnpd","Endothelial Cells","Group enriched"
"Hnrnpd","Newly Formed Oligodendrocyte","Group enriched"
"Hnrnpd","Microglia","Group enriched"
"Ddi2","Endothelial Cells","Group enriched"
"Ddi2","Microglia","Group enriched"
"Ddi2","Astrocytes","Group enriched"
"Ddi2","Neuron","Group enriched"
"Ddi2","Oligodendrocyte Precursor Cell","Group enriched"
"Ddi2","Newly Formed Oligodendrocyte","Group enriched"
"Pecam1","Endothelial Cells","Tissue enriched"
"Sgms1","Endothelial Cells","Tissue enriched"
"Ankrd46","Myelinating Oligodendrocytes","Group enriched"
"Ankrd46","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd46","Neuron","Group enriched"
"Ankrd46","Oligodendrocyte Precursor Cell","Group enriched"
"Ankrd46","Endothelial Cells","Group enriched"
"Ankrd46","Astrocytes","Group enriched"
"1700081L11Rik","Neuron","Group enriched"
"1700081L11Rik","Astrocytes","Group enriched"
"1700081L11Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1700081L11Rik","Endothelial Cells","Group enriched"
"1700081L11Rik","Newly Formed Oligodendrocyte","Group enriched"
"1700081L11Rik","Microglia","Group enriched"
"Lgals3","Microglia","Group enriched"
"Lgals3","Astrocytes","Group enriched"
"Endod1","Myelinating Oligodendrocytes","Group enriched"
"Endod1","Newly Formed Oligodendrocyte","Group enriched"
"Tmpo","Oligodendrocyte Precursor Cell","Group enriched"
"Tmpo","Endothelial Cells","Group enriched"
"Tmpo","Astrocytes","Group enriched"
"Tmpo","Neuron","Group enriched"
"Tmpo","Newly Formed Oligodendrocyte","Group enriched"
"Tmpo","Microglia","Group enriched"
"Aga","Newly Formed Oligodendrocyte","Group enriched"
"Aga","Endothelial Cells","Group enriched"
"Aga","Astrocytes","Group enriched"
"Aga","Myelinating Oligodendrocytes","Group enriched"
"Aga","Microglia","Group enriched"
"Aga","Oligodendrocyte Precursor Cell","Group enriched"
"Plk2","Endothelial Cells","Tissue enriched"
"Cacng7","Oligodendrocyte Precursor Cell","Group enriched"
"Cacng7","Newly Formed Oligodendrocyte","Group enriched"
"Cacng7","Myelinating Oligodendrocytes","Group enriched"
"Cacng7","Neuron","Group enriched"
"Cacng7","Astrocytes","Group enriched"
"Ndrg4","Neuron","Tissue enriched"
"Rbpms","Endothelial Cells","Tissue enriched"
"Rgs3","Endothelial Cells","Group enriched"
"Rgs3","Myelinating Oligodendrocytes","Group enriched"
"Rgs3","Microglia","Group enriched"
"Rgs3","Newly Formed Oligodendrocyte","Group enriched"
"Rgs14","Microglia","Tissue enriched"
"LOC547349","Microglia","Tissue enriched"
"Mapkapk3","Microglia","Group enriched"
"Mapkapk3","Astrocytes","Group enriched"
"Casp4","Microglia","Group enriched"
"Casp4","Endothelial Cells","Group enriched"
"Heatr5a","Microglia","Group enriched"
"Heatr5a","Newly Formed Oligodendrocyte","Group enriched"
"Heatr5a","Endothelial Cells","Group enriched"
"Heatr5a","Myelinating Oligodendrocytes","Group enriched"
"Heatr5a","Oligodendrocyte Precursor Cell","Group enriched"
"Heatr5a","Astrocytes","Group enriched"
"Siglec5","Microglia","Tissue enriched"
"Abca1","Astrocytes","Group enriched"
"Abca1","Endothelial Cells","Group enriched"
"Abca1","Oligodendrocyte Precursor Cell","Group enriched"
"S1pr2","Oligodendrocyte Precursor Cell","Group enriched"
"S1pr2","Microglia","Group enriched"
"S1pr2","Newly Formed Oligodendrocyte","Group enriched"
"S1pr2","Astrocytes","Group enriched"
"Adrb1","Astrocytes","Group enriched"
"Adrb1","Microglia","Group enriched"
"Adrb1","Neuron","Group enriched"
"Pias1","Astrocytes","Group enriched"
"Pias1","Oligodendrocyte Precursor Cell","Group enriched"
"Pias1","Microglia","Group enriched"
"Pias1","Neuron","Group enriched"
"Pias1","Endothelial Cells","Group enriched"
"Pias1","Newly Formed Oligodendrocyte","Group enriched"
"Notch2","Astrocytes","Group enriched"
"Notch2","Microglia","Group enriched"
"Flot2","Neuron","Group enriched"
"Flot2","Oligodendrocyte Precursor Cell","Group enriched"
"Flot2","Astrocytes","Group enriched"
"Flot2","Newly Formed Oligodendrocyte","Group enriched"
"Flot2","Myelinating Oligodendrocytes","Group enriched"
"Flot2","Microglia","Group enriched"
"Selm","Endothelial Cells","Group enriched"
"Selm","Myelinating Oligodendrocytes","Group enriched"
"Selm","Neuron","Group enriched"
"Selm","Newly Formed Oligodendrocyte","Group enriched"
"Selm","Oligodendrocyte Precursor Cell","Group enriched"
"Selm","Astrocytes","Group enriched"
"Arid5a","Endothelial Cells","Group enriched"
"Arid5a","Microglia","Group enriched"
"Arid5a","Astrocytes","Group enriched"
"Arid5a","Neuron","Group enriched"
"Usp7","Neuron","Group enriched"
"Usp7","Endothelial Cells","Group enriched"
"Usp7","Astrocytes","Group enriched"
"Usp7","Oligodendrocyte Precursor Cell","Group enriched"
"Usp7","Newly Formed Oligodendrocyte","Group enriched"
"Usp7","Microglia","Group enriched"
"Ly6h","Neuron","Group enriched"
"Ly6h","Oligodendrocyte Precursor Cell","Group enriched"
"Idh1","Newly Formed Oligodendrocyte","Group enriched"
"Idh1","Astrocytes","Group enriched"
"Idh1","Myelinating Oligodendrocytes","Group enriched"
"Idh1","Neuron","Group enriched"
"Idh1","Oligodendrocyte Precursor Cell","Group enriched"
"Il16","Microglia","Tissue enriched"
"Tubb4","Newly Formed Oligodendrocyte","Group enriched"
"Tubb4","Myelinating Oligodendrocytes","Group enriched"
"Apobec1","Microglia","Group enriched"
"Apobec1","Astrocytes","Group enriched"
"Tlr6","Microglia","Tissue enriched"
"Oma1","Microglia","Group enriched"
"Oma1","Endothelial Cells","Group enriched"
"Oma1","Oligodendrocyte Precursor Cell","Group enriched"
"Oma1","Astrocytes","Group enriched"
"Oma1","Newly Formed Oligodendrocyte","Group enriched"
"Oma1","Myelinating Oligodendrocytes","Group enriched"
"AB124611","Microglia","Tissue enriched"
"Gimap1","Endothelial Cells","Group enriched"
"Gimap1","Microglia","Group enriched"
"Rgl3","Microglia","Group enriched"
"Rgl3","Astrocytes","Group enriched"
"Rgl3","Oligodendrocyte Precursor Cell","Group enriched"
"Rgl3","Newly Formed Oligodendrocyte","Group enriched"
"Nid2","Endothelial Cells","Tissue enriched"
"Cd274","Neuron","Tissue enriched"
"Khnyn","Astrocytes","Group enriched"
"Khnyn","Endothelial Cells","Group enriched"
"Khnyn","Microglia","Group enriched"
"Khnyn","Oligodendrocyte Precursor Cell","Group enriched"
"Khnyn","Neuron","Group enriched"
"Khnyn","Newly Formed Oligodendrocyte","Group enriched"
"Pmaip1","Endothelial Cells","Tissue enriched"
"Lrrk1","Microglia","Group enriched"
"Lrrk1","Endothelial Cells","Group enriched"
"Il12b","Microglia","Tissue enriched"
"Iffo2","Microglia","Group enriched"
"Iffo2","Astrocytes","Group enriched"
"Iffo2","Endothelial Cells","Group enriched"
"Iffo2","Oligodendrocyte Precursor Cell","Group enriched"
"Iffo2","Neuron","Group enriched"
"Iffo2","Newly Formed Oligodendrocyte","Group enriched"
"Gamt","Myelinating Oligodendrocytes","Group enriched"
"Gamt","Newly Formed Oligodendrocyte","Group enriched"
"Stk38","Astrocytes","Group enriched"
"Stk38","Oligodendrocyte Precursor Cell","Group enriched"
"Stk38","Endothelial Cells","Group enriched"
"Stk38","Neuron","Group enriched"
"Stk38","Newly Formed Oligodendrocyte","Group enriched"
"Stk38","Microglia","Group enriched"
"Smpdl3a","Endothelial Cells","Group enriched"
"Smpdl3a","Astrocytes","Group enriched"
"S100a6","Newly Formed Oligodendrocyte","Group enriched"
"S100a6","Oligodendrocyte Precursor Cell","Group enriched"
"S100a6","Myelinating Oligodendrocytes","Group enriched"
"S100a6","Astrocytes","Group enriched"
"Cd163","Microglia","Tissue enriched"
"Cflar","Microglia","Group enriched"
"Cflar","Endothelial Cells","Group enriched"
"Cflar","Astrocytes","Group enriched"
"Cflar","Oligodendrocyte Precursor Cell","Group enriched"
"Dgat2","Newly Formed Oligodendrocyte","Group enriched"
"Dgat2","Myelinating Oligodendrocytes","Group enriched"
"Dgat2","Neuron","Group enriched"
"Dgat2","Microglia","Group enriched"
"Dgat2","Oligodendrocyte Precursor Cell","Group enriched"
"Pten","Neuron","Group enriched"
"Pten","Oligodendrocyte Precursor Cell","Group enriched"
"Pten","Endothelial Cells","Group enriched"
"Pten","Astrocytes","Group enriched"
"Pten","Microglia","Group enriched"
"Pten","Newly Formed Oligodendrocyte","Group enriched"
"Pde4b","Astrocytes","Group enriched"
"Pde4b","Endothelial Cells","Group enriched"
"Pde4b","Newly Formed Oligodendrocyte","Group enriched"
"Pde4b","Myelinating Oligodendrocytes","Group enriched"
"Pde4b","Oligodendrocyte Precursor Cell","Group enriched"
"Myo1b","Endothelial Cells","Tissue enriched"
"Anxa2","Endothelial Cells","Tissue enriched"
"Atp2a2","Astrocytes","Group enriched"
"Atp2a2","Neuron","Group enriched"
"Atp2a2","Newly Formed Oligodendrocyte","Group enriched"
"Atp2a2","Oligodendrocyte Precursor Cell","Group enriched"
"Atp2a2","Myelinating Oligodendrocytes","Group enriched"
"Slc7a1","Endothelial Cells","Tissue enriched"
"Acat2","Newly Formed Oligodendrocyte","Group enriched"
"Acat2","Myelinating Oligodendrocytes","Group enriched"
"Acat2","Astrocytes","Group enriched"
"Acat2","Oligodendrocyte Precursor Cell","Group enriched"
"Acat2","Neuron","Group enriched"
"Cxcr4","Endothelial Cells","Group enriched"
"Cxcr4","Neuron","Group enriched"
"Nup98","Astrocytes","Group enriched"
"Nup98","Endothelial Cells","Group enriched"
"Nup98","Microglia","Group enriched"
"Nup98","Oligodendrocyte Precursor Cell","Group enriched"
"Nup98","Neuron","Group enriched"
"Nup98","Newly Formed Oligodendrocyte","Group enriched"
"Cd79b","Microglia","Tissue enriched"
"Cd97","Endothelial Cells","Tissue enriched"
"Rinl","Microglia","Group enriched"
"Rinl","Newly Formed Oligodendrocyte","Group enriched"
"Rinl","Endothelial Cells","Group enriched"
"2700081O15Rik","Neuron","Group enriched"
"2700081O15Rik","Astrocytes","Group enriched"
"2700081O15Rik","Oligodendrocyte Precursor Cell","Group enriched"
"2700081O15Rik","Endothelial Cells","Group enriched"
"2700081O15Rik","Newly Formed Oligodendrocyte","Group enriched"
"2700081O15Rik","Microglia","Group enriched"
"Ube2l6","Endothelial Cells","Group enriched"
"Ube2l6","Microglia","Group enriched"
"Ube2l6","Oligodendrocyte Precursor Cell","Group enriched"
"Slc1a2","Astrocytes","Group enriched"
"Slc1a2","Oligodendrocyte Precursor Cell","Group enriched"
"Cadm4","Newly Formed Oligodendrocyte","Group enriched"
"Cadm4","Oligodendrocyte Precursor Cell","Group enriched"
"Cadm4","Myelinating Oligodendrocytes","Group enriched"
"Cadm4","Astrocytes","Group enriched"
"Cadm4","Neuron","Group enriched"
"Tmod3","Endothelial Cells","Tissue enriched"
"Mmp9","Microglia","Tissue enriched"
"Fam83g","Microglia","Tissue enriched"
"Klhl7","Oligodendrocyte Precursor Cell","Group enriched"
"Klhl7","Neuron","Group enriched"
"Klhl7","Astrocytes","Group enriched"
"Klhl7","Newly Formed Oligodendrocyte","Group enriched"
"Klhl7","Endothelial Cells","Group enriched"
"Klhl7","Microglia","Group enriched"
"S1pr4","Microglia","Group enriched"
"S1pr4","Endothelial Cells","Group enriched"
"Plekhh3","Astrocytes","Group enriched"
"Plekhh3","Microglia","Group enriched"
"Plekhh3","Oligodendrocyte Precursor Cell","Group enriched"
"Plekhh3","Endothelial Cells","Group enriched"
"Plekhh3","Neuron","Group enriched"
"Plekhh3","Newly Formed Oligodendrocyte","Group enriched"
"Ppp1cb","Newly Formed Oligodendrocyte","Group enriched"
"Ppp1cb","Endothelial Cells","Group enriched"
"Ppp1cb","Neuron","Group enriched"
"Ppp1cb","Oligodendrocyte Precursor Cell","Group enriched"
"Ppp1cb","Astrocytes","Group enriched"
"Ppp1cb","Myelinating Oligodendrocytes","Group enriched"
"Pld2","Astrocytes","Group enriched"
