"Gene","Tissue","Group"
"Gadd45b","Microglia","Tissue enriched"
"Sfpi1","Microglia","Tissue enriched"
"Ncf1","Microglia","Tissue enriched"
"Ltc4s","Microglia","Tissue enriched"
"Gm5148","Microglia","Group enriched"
"Gm5148","Endothelial Cells","Group enriched"
"Gm5148","Oligodendrocyte Precursor Cell","Group enriched"
"Gm5148","Myelinating Oligodendrocytes","Group enriched"
"Gm5148","Newly Formed Oligodendrocyte","Group enriched"
"Gm5148","Neuron","Group enriched"
"Tcn2","Microglia","Group enriched"
"Tcn2","Endothelial Cells","Group enriched"
"Slc15a3","Microglia","Tissue enriched"
"Ppp1r15a","Microglia","Group enriched"
"Ppp1r15a","Endothelial Cells","Group enriched"
"Ppp1r15a","Astrocytes","Group enriched"
"Coro1a","Microglia","Tissue enriched"
"Rps15","Endothelial Cells","Group enriched"
"Rps15","Microglia","Group enriched"
"Rps15","Myelinating Oligodendrocytes","Group enriched"
"Rps15","Oligodendrocyte Precursor Cell","Group enriched"
"Rps15","Newly Formed Oligodendrocyte","Group enriched"
"Rps15","Neuron","Group enriched"
"Itgam","Microglia","Tissue enriched"
"Fcgr3","Microglia","Tissue enriched"
"Btg2","Microglia","Group enriched"
"Btg2","Endothelial Cells","Group enriched"
"Btg2","Astrocytes","Group enriched"
"Txnip","Microglia","Tissue enriched"
"Cebpa","Microglia","Tissue enriched"
"Plekho1","Microglia","Tissue enriched"
"Rnase4","Microglia","Tissue enriched"
"P2ry12","Microglia","Group enriched"
"P2ry12","Oligodendrocyte Precursor Cell","Group enriched"
"Fosb","Astrocytes","Group enriched"
"Fosb","Microglia","Group enriched"
"Fosb","Neuron","Group enriched"
"Fosb","Endothelial Cells","Group enriched"
"Fosb","Oligodendrocyte Precursor Cell","Group enriched"
"Cd9","Newly Formed Oligodendrocyte","Group enriched"
"Cd9","Oligodendrocyte Precursor Cell","Group enriched"
"Cd9","Microglia","Group enriched"
"Cd9","Astrocytes","Group enriched"
"Cd9","Myelinating Oligodendrocytes","Group enriched"
"Cd37","Microglia","Tissue enriched"
"Ly86","Microglia","Tissue enriched"
"Alox5ap","Microglia","Tissue enriched"
"Slco2b1","Microglia","Group enriched"
"Slco2b1","Endothelial Cells","Group enriched"
"Ucp2","Microglia","Tissue enriched"
"Rplp0","Microglia","Group enriched"
"Rplp0","Endothelial Cells","Group enriched"
"Rplp0","Myelinating Oligodendrocytes","Group enriched"
"Rplp0","Oligodendrocyte Precursor Cell","Group enriched"
"Rplp0","Newly Formed Oligodendrocyte","Group enriched"
"Rplp0","Neuron","Group enriched"
"Camk1","Microglia","Group enriched"
"Camk1","Oligodendrocyte Precursor Cell","Group enriched"
"Rhog","Microglia","Group enriched"
